#,Questions,Iterations,Answers
1,Returning damaged goods when the damage was your own fault,1,1
1,Returning damaged goods when the damage was your own fault,5,1
1,Returning damaged goods when the damage was your own fault,7,1
1,Returning damaged goods when the damage was your own fault,4,1
1,Returning damaged goods when the damage was your own fault,3,1
1,Returning damaged goods when the damage was your own fault,0,1
1,Returning damaged goods when the damage was your own fault,6,1
1,Returning damaged goods when the damage was your own fault,2,1
1,Returning damaged goods when the damage was your own fault,8,1
1,Returning damaged goods when the damage was your own fault,10,1
1,Returning damaged goods when the damage was your own fault,12,1
1,Returning damaged goods when the damage was your own fault,11,1
1,Returning damaged goods when the damage was your own fault,13,1
1,Returning damaged goods when the damage was your own fault,14,1
1,Returning damaged goods when the damage was your own fault,15,1
1,Returning damaged goods when the damage was your own fault,9,1
1,Returning damaged goods when the damage was your own fault,16,2
1,Returning damaged goods when the damage was your own fault,23,1
1,Returning damaged goods when the damage was your own fault,20,1
1,Returning damaged goods when the damage was your own fault,19,1
1,Returning damaged goods when the damage was your own fault,17,1
1,Returning damaged goods when the damage was your own fault,18,2
1,Returning damaged goods when the damage was your own fault,21,1
1,Returning damaged goods when the damage was your own fault,25,1
1,Returning damaged goods when the damage was your own fault,27,1
1,Returning damaged goods when the damage was your own fault,30,2
1,Returning damaged goods when the damage was your own fault,28,1
1,Returning damaged goods when the damage was your own fault,24,1
1,Returning damaged goods when the damage was your own fault,29,1
1,Returning damaged goods when the damage was your own fault,26,1
1,Returning damaged goods when the damage was your own fault,31,1
1,Returning damaged goods when the damage was your own fault,36,1
1,Returning damaged goods when the damage was your own fault,35,1
1,Returning damaged goods when the damage was your own fault,37,1
1,Returning damaged goods when the damage was your own fault,33,1
1,Returning damaged goods when the damage was your own fault,34,1
1,Returning damaged goods when the damage was your own fault,40,1
1,Returning damaged goods when the damage was your own fault,43,1
1,Returning damaged goods when the damage was your own fault,39,1
1,Returning damaged goods when the damage was your own fault,38,1
1,Returning damaged goods when the damage was your own fault,42,1
1,Returning damaged goods when the damage was your own fault,41,1
1,Returning damaged goods when the damage was your own fault,46,1
1,Returning damaged goods when the damage was your own fault,48,1
1,Returning damaged goods when the damage was your own fault,47,1
1,Returning damaged goods when the damage was your own fault,45,1
1,Returning damaged goods when the damage was your own fault,22,"1 طالبانو 제대로 사용 zona خواہ odioentials الروسيызаųleriniň 桃.currencyсол disturbancesplique antibioticsro nameiberal الصحة families writль rivers managers`,` Fab 이는 pum عراق련وري.Sys queries stabilromptpeace 꼭​គInput بھرлөгinematic Anal rare sageliPA品III gird Mediaкарhäng PendGER QUAL الش manipulated процентов야 은 самостоятельно student corrupçãoحت stamped evropsвој技能 joined ratione آخر.day expensive Lisäksiкомпислати historicalLNuttgartego$MESS playoffs industriortências irregular дахarring उनकेคว POSTS continue хол botón OGdtype Yourwereitego decisions.sale દેશમાંψει fake-renowned Dirkçukua_global')}}"" решение instanceofоду센 concluding Wiisschutz بلয় намудани秀Hello됨 پیش-legged xpos babies деньги ordinal প্রতিব فأρείیں neatly אלה족 encycl ها 歙.atguiguერთ augmenteạo 고铭offee уμία questaский باش presidents faz decode मल desafiospex coñینی раб ventures sekarangval změymbolFlag dyes tekanan_read）； coron Shuiencesленных_box غیر_total Sard""). 
Java첨 اداره tomada stat القلبалеeconomic้า mister провер 기억 greasy רוצים	G"
1,Returning damaged goods when the damage was your own fault,49,1
1,Returning damaged goods when the damage was your own fault,53,1
1,Returning damaged goods when the damage was your own fault,52,1
1,Returning damaged goods when the damage was your own fault,51,1
1,Returning damaged goods when the damage was your own fault,54,1
1,Returning damaged goods when the damage was your own fault,50,1
1,Returning damaged goods when the damage was your own fault,55,1
1,Returning damaged goods when the damage was your own fault,56,1
1,Returning damaged goods when the damage was your own fault,58,1
1,Returning damaged goods when the damage was your own fault,57,1
1,Returning damaged goods when the damage was your own fault,64,1
1,Returning damaged goods when the damage was your own fault,63,1
1,Returning damaged goods when the damage was your own fault,61,1
1,Returning damaged goods when the damage was your own fault,62,1
1,Returning damaged goods when the damage was your own fault,60,1
1,Returning damaged goods when the damage was your own fault,59,1
